Organisation,Partner Code,Type,County,Project Code
Betty Smithers Design Collection,CFBET,archive,Staffordshire,BCH
Claymills Pumping Engine Trust,CFCLA,museum,Staffordshire,BCH
Clun Museum Shropshire,VLC,museum,Shropshire,DSH
Coventry Archives,COVHC,archive,West Midlands,COV
Coventry Transport Museum,COVRT,museum,West Midlands,COV
"Drayton Museum, Market Drayton Shropshire",VLM,museum,Shropshire,DSH
Dudley Archives and Local History Service,GB145,archive,West Midlands,BCH
Dudley Museums Service,DMUSE,museum,West Midlands,BCH
East Lothian Archive Service,ELCAS,archive,Lothian,HELO
East Lothian Council Local History Service,ELLOH,local history,Lothian,HELO
East Lothian Council Museums Service,ELMUS,museum,Lothian,HELO
East Lothian Historic Environment Record,ELHER,local history,Lothian,HELO
Etruria Industrial Museum,CFETR,museum,Staffordshire,BCH
Ford Green Hall,CFFOR,museum,Staffordshire,BCH
Gladstone Pottery Museum,CFGLA,museum,Staffordshire,BCH
Godalming Museum,WAMSB,museum,Surrey,ESP
Gwynedd Museum and Art Gallery,BANBM,museum,Gwynedd County,GWY
Herbert Art Gallery and Museum,COVGM,museum,West Midlands,COV
Midlothian Historic Environment Record,MLHER,local history,Lothian,HELO
Newport History Society Shropshire,NHS,local history,Shropshire,DSH
"Northgate Museum, Bridgnorth, Shropshire",VLB,museum,Shropshire,DSH
Potteries Museum and Art Gallery,CFPOT,museum,Staffordshire,BCH
Samuel Johnson Birthplace Museum,CFJOH,museum,Staffordshire,BCH
Sandwell Community History & Archives Service,GB146,archive,West Midlands,BCH
Sandwell Museums Service,WEDSD,museum,West Midlands,BCH
Shropshire Archives,CCA,archive,Shropshire,DSH
Shropshire Museums,CCM,museum,Shropshire,DSH
Shropshire Sites and Monuments Records,CCS,local history,Shropshire,DSH
Staffordshire Arts and Museums Service,CFSAM,museum,Staffordshire,BCH
Staffordshire Yeomanry Museum,CFYEO,museum,Staffordshire,BCH
Surrey HER,SHHER,local history,Surrey,ESP
Surrey History Centre Collections,SHCOL,archive,Non-UK,ESP
Surrey History Centre Francis Frith Photographs,SHFRI,archive,Surrey,ESP
Surrey History Centre Library Maps,SHMAP,archive,Surrey,ESP
Surrey History Trust Blue Plaques,SHTBP,local history,Surrey,ESP
Walsall HER,WAHER,local history,West Midlands,BCH
Walsall Local History Centre,GB148,archive,West Midlands,BCH
Walsall Museums Service,WASMG,museum,West Midlands,BCH
Wolverhampton Archives & Local Studies Service,GB149,archive,West Midlands,BCH
Wolverhampton Arts and Museums,WAGMU,museum,Staffordshire,BCH
Wolverhampton HER,WOHER,local history,West Midlands,BCH
